LOCALITA;DATA;TMEDIA 째C;TMIN 째C;TMAX 째C;PUNTORUGIADA 째C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Trieste;1/8/2017;"28";"23";"32";"22";"70";"19";"1";"4";"0";"1016";"0";"0";""
Trieste;2/8/2017;"29";"24";"32";"21";"64";"21";"1";"5";"0";"1016";"0";"0";""
Trieste;3/8/2017;"30";"27";"34";"21";"59";"20";"3";"17";"0";"1014";"0";"0";""
Trieste;4/8/2017;"29";"25";"33";"22";"63";"22";"1";"2";"0";"1011";"0";"0";""
Trieste;5/8/2017;"32";"26";"38";"18";"45";"20";"4";"18";"0";"1010";"0";"0";""
Trieste;6/8/2017;"31";"19";"37";"19";"51";"20";"18";"30";"0";"1010";"0";"0";"pioggia temporale "
Trieste;7/8/2017;"25";"21";"30";"12";"44";"19";"21";"33";"0";"1015";"0";"0";""
Trieste;8/8/2017;"26";"22";"29";"15";"50";"20";"7";"18";"0";"1013";"0";"0";""
Trieste;9/8/2017;"28";"24";"32";"19";"57";"22";"1";"5";"0";"1012";"0";"0";""
Trieste;10/8/2017;"27";"22";"31";"19";"65";"20";"6";"26";"0";"1012";"0";"0";"pioggia temporale "
Trieste;11/8/2017;"25";"21";"28";"18";"66";"18";"3";"9";"0";"1010";"0";"0";"pioggia temporale "
Trieste;12/8/2017;"23";"19";"27";"13";"56";"20";"4";"9";"0";"1012";"0";"0";""
Trieste;13/8/2017;"24";"20";"28";"15";"58";"21";"7";"17";"0";"1017";"0";"0";""
Trieste;14/8/2017;"26";"22";"31";"16";"57";"20";"7";"17";"0";"1019";"0";"0";""
Trieste;15/8/2017;"25";"21";"31";"18";"61";"20";"2";"9";"0";"1019";"0";"0";""
Trieste;16/8/2017;"26";"22";"30";"18";"63";"21";"4";"15";"0";"1017";"0";"0";""
Trieste;17/8/2017;"28";"25";"35";"17";"52";"20";"8";"18";"0";"1016";"0";"0";""
